pathway	logFC_ISPY2	FDR_ISPY2	NES_GSE	FDR_GSE	sig_ISPY2	sig_GSE	sig_ambas	categoria
HALLMARK_XENOBIOTIC_METABOLISM	-0.01184437830471872	0.13977999334774338	1.4555753112467926	0.00779666302822392	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_UV_RESPONSE_DN	-0.02223875803076433	0.14707345595385957	1.8030682040549884	0.0061050061050061	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_IL2_STAT5_SIGNALING	0.01576428285118972	0.14707345595385957	1.6625065920025677	0.0061050061050061	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_MYC_TARGETS_V1	0.02325795822851532	0.14707345595385957	-2.0915591879621833	0.00209590878604963	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_GLYCOLYSIS	0.01208224555029722	0.14707345595385957	-0.9434403024006012	0.8290863705926927	FALSE	FALSE	FALSE	No significativa
HALLMARK_KRAS_SIGNALING_DN	0.01960909282029908	0.14707345595385957	-0.7442382848414869	0.9632361918536396	FALSE	FALSE	FALSE	No significativa
HALLMARK_BILE_ACID_METABOLISM	-0.0101824492238528	0.159628346917842	1.35475000720712	0.08439943141435678	FALSE	FALSE	FALSE	No significativa
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.01826397369959163	0.2515945152163435	-1.2098067828611203	0.23381620642824807	FALSE	FALSE	FALSE	No significativa
HALLMARK_ADIPOGENESIS	-0.01135794079853709	0.2797618138186936	0.9355105398253292	0.8842866535174229	FALSE	FALSE	FALSE	No significativa
HALLMARK_ANDROGEN_RESPONSE	-0.0140299217016426	0.30693182411559994	1.344622123586612	0.09128370976996504	FALSE	FALSE	FALSE	No significativa
HALLMARK_P53_PATHWAY	0.00731143222576095	0.30693182411559994	1.007241037740128	0.7336182336182336	FALSE	FALSE	FALSE	No significativa
HALLMARK_KRAS_SIGNALING_UP	0.01238279575891804	0.30693182411559994	0.9925310404429368	0.7652243589743589	FALSE	FALSE	FALSE	No significativa
HALLMARK_TGF_BETA_SIGNALING	-0.01597504267036542	0.30693182411559994	0.9252956681921812	0.8290863705926927	FALSE	FALSE	FALSE	No significativa
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.01904539714921433	0.3214313366435994	1.2265608206173275	0.11019878997407088	FALSE	FALSE	FALSE	No significativa
HALLMARK_PEROXISOME	-0.00873908857425591	0.3488709025337481	1.15836448587426	0.28468213766835515	FALSE	FALSE	FALSE	No significativa
HALLMARK_HEDGEHOG_SIGNALING	-0.01013048902357948	0.3765177895645653	0.9176554367009712	0.8290863705926927	FALSE	FALSE	FALSE	No significativa
HALLMARK_APICAL_SURFACE	0.00751871952120547	0.3853495734320837	-0.7649803757043903	0.9632361918536396	FALSE	FALSE	FALSE	No significativa
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.00838483897043632	0.4764347580767507	-0.9239307342669302	0.8290863705926927	FALSE	FALSE	FALSE	No significativa
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.00624307900894997	0.4971046468462869	-1.0853898671499729	0.6050420168067226	FALSE	FALSE	FALSE	No significativa
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.00535687107127129	0.63588105492878	1.0347283648600525	0.6345602084103431	FALSE	FALSE	FALSE	No significativa
HALLMARK_HEME_METABOLISM	0.00262023012871738	0.6757176163214577	1.4234435697227907	0.00964754309235914	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_HYPOXIA	0.00533544399077431	0.6837117039899604	1.2735712979978644	0.07203895071542131	FALSE	FALSE	FALSE	No significativa
HALLMARK_PANCREAS_BETA_CELLS	0.00561950184299498	0.6921085487733392	-1.0920175161674843	0.6050420168067226	FALSE	FALSE	FALSE	No significativa
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.00410937501174334	0.7126965552373322	0.7118719529986305	0.9632361918536396	FALSE	FALSE	FALSE	No significativa
HALLMARK_PROTEIN_SECRETION	-0.0056085532521142	0.7272700675575345	1.6142290700893445	0.008110300081103	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_DNA_REPAIR	0.00414964349046852	0.7272700675575345	-1.422610600733026	0.04921259842519684	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.00329857574421859	0.7461520192092327	0.918837383261262	0.839674035387871	FALSE	FALSE	FALSE	No significativa
HALLMARK_NOTCH_SIGNALING	-0.00421172358565981	0.7961165988994431	-0.9919477107442156	0.7617470405337182	FALSE	FALSE	FALSE	No significativa
HALLMARK_APOPTOSIS	-3.566705994238541e-4	0.9656168968429664	-0.6937345187913436	0.9761766414875072	FALSE	FALSE	FALSE	No significativa
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.3727279214361345e-4	0.9656168968429664	-1.579704788314367	0.00753721499905784	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_APICAL_JUNCTION	3.017280550889773e-4	0.9656168968429664	1.6104761585879084	0.0061050061050061	FALSE	TRUE	FALSE	Solo GSE241876
HALLMARK_COAGULATION	3.9723455060115993e-4	0.9656168968429664	1.6484574514964885	0.00753721499905784	FALSE	TRUE	FALSE	Solo GSE241876
