pathway	NES_GSE	FDR_GSE	logFC_BRTN	FDR_BRTN	sig_GSE	sig_BRTN	sig_ambas	categoria
HALLMARK_HEDGEHOG_SIGNALING	0.9176554367009712	0.8290863705926927	-0.01400727664966803	0.00975227184375373	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_SPERMATOGENESIS	0.9414802212860152	0.8290863705926927	0.01789662639584848	0.03420162072786438	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_TGF_BETA_SIGNALING	0.9252956681921812	0.8290863705926927	-0.01071743969654195	0.03336147581009657	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.9239307342669302	0.8290863705926927	0.00318649557228092	0.2728166116255382	FALSE	FALSE	FALSE	No significativa
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.918837383261262	0.839674035387871	-0.01068809149432349	0.0522526889964361	FALSE	FALSE	FALSE	No significativa
HALLMARK_ADIPOGENESIS	0.9355105398253292	0.8842866535174229	-0.00743930360139364	0.17332582874375055	FALSE	FALSE	FALSE	No significativa
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.8706091237543178	0.9248658813118744	-0.00151340437569743	0.619999476094991	FALSE	FALSE	FALSE	No significativa
HALLMARK_MTORC1_SIGNALING	-0.8740702114563956	0.9248658813118744	0.00816987224513876	0.03420162072786438	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.8268796528873745	0.9366358464593308	0.02135936545033027	0.00106390549051765	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_ALLOGRAFT_REJECTION	-0.7956664394777392	0.9632361918536396	0.03011254152465453	4.5373302432869455e-4	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_APICAL_SURFACE	-0.7649803757043903	0.9632361918536396	0.00201389708653411	0.619999476094991	FALSE	FALSE	FALSE	No significativa
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.7560307951837152	0.9632361918536396	-0.01060702360685045	0.02153532262360206	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_FATTY_ACID_METABOLISM	-0.7534228877426655	0.9632361918536396	-0.00380139376472439	0.30675696660051105	FALSE	FALSE	FALSE	No significativa
HALLMARK_INFLAMMATORY_RESPONSE	0.834927478540048	0.9632361918536396	0.01647137584604167	0.0169661348048485	FALSE	TRUE	FALSE	Solo BrighTNess
HALLMARK_KRAS_SIGNALING_DN	-0.7442382848414869	0.9632361918536396	-0.0022243585937759	0.619999476094991	FALSE	FALSE	FALSE	No significativa
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.7118719529986305	0.9632361918536396	-0.00789535456257745	0.07401768931322225	FALSE	FALSE	FALSE	No significativa
HALLMARK_APOPTOSIS	-0.6937345187913436	0.9761766414875072	0.00319889606765095	0.22779093140799425	FALSE	FALSE	FALSE	No significativa
